hour,soc_frac,price,load_kw,action,grid_import_kw,step_cost
0,0.5,0.1,0.255,0,5.255,0.5255
1,0.8703703703703703,0.1,0.264,1,0.264,0.026400000000000003
2,0.8703703703703703,0.1,0.253,1,0.253,0.025300000000000003
3,0.8703703703703703,0.1,0.25,1,0.25,0.025
4,0.8703703703703703,0.1,0.234,1,0.234,0.023400000000000004
5,0.8703703703703703,0.1,0.249,1,0.249,0.024900000000000002
6,0.8703703703703703,0.1,0.297,1,0.297,0.0297
7,0.8703703703703703,0.1,0.323,1,0.323,0.0323
8,0.8703703703703703,0.2,0.423,1,0.423,0.08460000000000001
9,0.8703703703703703,0.2,0.418,1,0.418,0.08360000000000001
10,0.8703703703703703,0.2,0.418,1,0.418,0.08360000000000001
11,0.8703703703703703,0.2,0.431,1,0.431,0.0862
12,0.8703703703703703,0.2,0.424,1,0.424,0.0848
13,0.8703703703703703,0.2,0.424,1,0.424,0.0848
14,0.8703703703703703,0.2,0.426,1,0.426,0.0852
15,0.8703703703703703,0.2,0.419,1,0.419,0.0838
16,0.8703703703703703,0.4,0.423,2,0.0,0.0
17,0.5,0.4,0.434,2,0.0,0.0
18,0.12962962962962962,0.4,0.393,1,0.393,0.1572
19,0.12962962962962962,0.4,0.367,1,0.367,0.1468
20,0.12962962962962962,0.4,0.356,1,0.356,0.1424
21,0.12962962962962962,0.4,0.313,1,0.313,0.1252
22,0.12962962962962962,0.4,0.288,1,0.288,0.1152
23,0.12962962962962962,0.4,0.284,1,0.284,0.11359999999999999
