day,controller,cost,peak
day1,no_battery,2.0323,0.434
day1,rule,2.1895000000000002,5.255
day1,lp,0.16160000000000002,1.616
day1,dqn,1.6895,0.431
day2,no_battery,3.205400000000001,0.76
day2,rule,3.1602000000000006,5.28
day2,lp,0.6291,5.541
day2,dqn,2.6658,0.76
day3,no_battery,3.7668,0.903
day3,rule,3.5696000000000003,5.295
day3,lp,0.8368,5.515
day3,dqn,3.0696000000000003,0.903
day4,no_battery,3.8771000000000004,0.889
day4,rule,3.6811000000000007,5.295
day4,lp,0.8681,5.526
day4,dqn,3.1811,0.889
day5,no_battery,3.733900000000001,0.823
day5,rule,3.5803000000000003,5.318
day5,lp,0.8225,5.582
day5,dqn,3.080300000000001,0.823
day6,no_battery,3.7756000000000007,0.881
day6,rule,3.6344,5.351
day6,lp,0.8494999999999999,5.516
day6,dqn,3.1344000000000003,0.881
